id,name,terminalName,lat,long,installed,locked,temporary,public,nbBikes,nbEmptyDocks
187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,TRUE,FALSE,FALSE,TRUE,15,4
188,19th & K St NW,31253,38.902204,-77.04337,TRUE,FALSE,FALSE,TRUE,21,2
189,Prince St & Union St,31041,38.803124,-77.040363,TRUE,FALSE,FALSE,TRUE,19,0
190,Market Square / King St & Royal St,31042,38.804718,-77.043363,TRUE,FALSE,FALSE,TRUE,13,1
191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,TRUE,FALSE,FALSE,TRUE,13,1
192,King St & Patrick St,31044,38.805317,-77.049883,TRUE,FALSE,FALSE,TRUE,8,7
193,15th & K St NW,31254,38.902,-77.03353,TRUE,FALSE,FALSE,TRUE,21,6
194,Commerce St & Fayette St,31045,38.805648,-77.05293,TRUE,FALSE,FALSE,TRUE,2,13
195,Henry St & Pendleton St,31046,38.811456,-77.050276,TRUE,FALSE,FALSE,TRUE,9,6
196,Braddock Rd Metro,31047,38.814577,-77.052808,TRUE,FALSE,FALSE,TRUE,18,8
197,King St Metro South,31048,38.805767,-77.06072,TRUE,FALSE,FALSE,TRUE,3,20
198,24th & N St NW,31255,38.9066,-77.05152,TRUE,FALSE,FALSE,TRUE,6,9
199,10th & E St NW,31256,38.895914,-77.026064,TRUE,FALSE,FALSE,TRUE,9,5
200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,TRUE,FALSE,FALSE,TRUE,14,0
201,Utah St & 11th St N,31049,38.883669,-77.113905,TRUE,FALSE,FALSE,TRUE,6,5
202,Barton St & 10th St N,31050,38.884961,-77.08777,TRUE,FALSE,FALSE,TRUE,6,5
203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,TRUE,FALSE,FALSE,TRUE,4,7
204,Lincoln Memorial,31258,38.888251,-77.049426,TRUE,FALSE,FALSE,TRUE,0,23
206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,TRUE,FALSE,FALSE,TRUE,1,14
207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,TRUE,FALSE,FALSE,TRUE,6,13
208,39th & Veazey St NW,31308,38.943837,-77.077078,TRUE,FALSE,FALSE,TRUE,3,12
