StartStation,EndStation,Ridership,start_id,start_terminalName,start_lat,start_long,start_nbBikes,start_nbEmptyDocks,end_id,end_terminalName,end_lat,end_long,end_nbBikes,end_nbEmptyDocks,distance_hav
Lamont & Mt Pleasant NW,14th & D St NW / Ronald Reagan Building,1392,21,31107,38.9319,-77.0388,4,15,104,31231,38.894514,-77.031617,8,17,4208.039922
Lamont & Mt Pleasant NW,17th & Rhode Island Ave NW,1350,21,31107,38.9319,-77.0388,4,15,136,31239,38.906602,-77.038785,4,18,2816.160778
Lamont & Mt Pleasant NW,14th & R St NW,1314,21,31107,38.9319,-77.0388,4,15,24,31202,38.912682,-77.031681,3,12,2226.41018
Lamont & Mt Pleasant NW,California St & Florida Ave NW,1271,21,31107,38.9319,-77.0388,4,15,149,31116,38.917761,-77.04062,3,16,1581.818683
Lamont & Mt Pleasant NW,14th & Rhode Island Ave NW,1145,21,31107,38.9319,-77.0388,4,15,25,31203,38.9086,-77.0323,14,8,2654.134569
Lamont & Mt Pleasant NW,19th St & Pennsylvania Ave NW,1123,21,31107,38.9319,-77.0388,4,15,14,31100,38.9003,-77.0429,7,7,3535.575317
Lamont & Mt Pleasant NW,New Hampshire Ave & T St NW,1121,21,31107,38.9319,-77.0388,4,15,102,31229,38.91554,-77.03818,0,23,1821.978253
Lamont & Mt Pleasant NW,19th & L St NW,1094,21,31107,38.9319,-77.0388,4,15,86,31224,38.903407,-77.043648,10,4,3199.499009
Lamont & Mt Pleasant NW,20th & O St NW / Dupont South,1040,21,31107,38.9319,-77.0388,4,15,107,31234,38.908905,-77.04478,3,15,2611.66132
Lamont & Mt Pleasant NW,21st & I St NW,1012,21,31107,38.9319,-77.0388,4,15,27,31205,38.9008,-77.047,30,2,3534.136967
Lamont & Mt Pleasant NW,15th & Euclid St  NW,987,21,31107,38.9319,-77.0388,4,15,230,31117,38.92333,-77.0352,1,14,1003.656052
Lamont & Mt Pleasant NW,14th St & New York Ave NW,982,21,31107,38.9319,-77.0388,4,15,69,31216,38.899632,-77.031686,12,11,3644.522903
Lamont & Mt Pleasant NW,Thomas Circle,973,21,31107,38.9319,-77.0388,4,15,137,31241,38.9059,-77.0325,6,27,2945.291461
Lamont & Mt Pleasant NW,16th & K St NW,971,21,31107,38.9319,-77.0388,4,15,419,31291,38.90268,-77.035737,21,2,3263.556263
Lamont & Mt Pleasant NW,8th & H St NW,905,21,31107,38.9319,-77.0388,4,15,92,31228,38.8997,-77.023086,31,2,3834.192204
Lamont & Mt Pleasant NW,17th & K St NW / Farragut Square,901,21,31107,38.9319,-77.0388,4,15,106,31233,38.902061,-77.038322,16,18,3321.920285
Lamont & Mt Pleasant NW,Harvard St & Adams Mill Rd NW,881,21,31107,38.9319,-77.0388,4,15,85,31112,38.927872,-77.043358,1,14,597.3724558
Lamont & Mt Pleasant NW,18th St & Wyoming Ave NW,857,21,31107,38.9319,-77.0388,4,15,214,31114,38.918809,-77.041571,0,23,1476.910142
Lamont & Mt Pleasant NW,14th & G St NW,845,21,31107,38.9319,-77.0388,4,15,117,31238,38.898069,-77.031823,9,11,3814.226947
Lamont & Mt Pleasant NW,7th & T St NW,833,21,31107,38.9319,-77.0388,4,15,47,31109,38.9155,-77.0222,5,10,2323.73913
Lamont & Mt Pleasant NW,17th St & Massachusetts Ave NW,746,21,31107,38.9319,-77.0388,4,15,229,31267,38.908142,-77.038359,0,17,2645.004248
Lamont & Mt Pleasant NW,Metro Center / 12th & G St NW,697,21,31107,38.9319,-77.0388,4,15,103,31230,38.898364,-77.027869,30,0,3851.398728
Lamont & Mt Pleasant NW,New York Ave & 15th St NW,690,21,31107,38.9319,-77.0388,4,15,83,31222,38.8991,-77.0337,7,7,3677.902983
Lamont & Mt Pleasant NW,9th & Upshur St NW,663,21,31107,38.9319,-77.0388,4,15,146,31404,38.9418,-77.0251,5,10,1619.186941
Lamont & Mt Pleasant NW,Columbia Rd & Georgia Ave NW,654,21,31107,38.9319,-77.0388,4,15,148,31115,38.928156,-77.02344,6,12,1393.897635
Lamont & Mt Pleasant NW,M St & Pennsylvania Ave NW,646,21,31107,38.9319,-77.0388,4,15,153,31246,38.905126,-77.056887,13,6,3367.078556
Lamont & Mt Pleasant NW,Florida Ave & R St NW,636,21,31107,38.9319,-77.0388,4,15,61,31503,38.9126,-77.0135,6,8,3068.716066
Lamont & Mt Pleasant NW,Georgetown Harbor / 30th St NW,627,21,31107,38.9319,-77.0388,4,15,72,31215,38.9022212,-77.059219,6,13,3747.404933
Lamont & Mt Pleasant NW,10th St & Constitution Ave NW,605,21,31107,38.9319,-77.0388,4,15,76,31219,38.893028,-77.026013,12,19,4466.711554
Lamont & Mt Pleasant NW,7th & F St NW / National Portrait Gallery,583,21,31107,38.9319,-77.0388,4,15,105,31232,38.897351,-77.022465,21,3,4097.974303
Lamont & Mt Pleasant NW,37th & O St NW / Georgetown University,573,21,31107,38.9319,-77.0388,4,15,110,31236,38.90774,-77.071652,5,17,3915.225558
Lamont & Mt Pleasant NW,Kennedy Center,571,21,31107,38.9319,-77.0388,4,15,77,31211,38.897293,-77.05557,16,2,4117.176001
Lamont & Mt Pleasant NW,Convention Center / 7th & M St NW,567,21,31107,38.9319,-77.0388,4,15,84,31223,38.905737,-77.02227,1,18,3245.314615
Lamont & Mt Pleasant NW,Connecticut Ave & Newark St NW / Cleveland Park,562,21,31107,38.9319,-77.0388,4,15,35,31305,38.934267,-77.057979,5,6,1681.544611
Lamont & Mt Pleasant NW,North Capitol St & F St NW,562,21,31107,38.9319,-77.0388,4,15,114,31624,38.897446,-77.009888,18,5,4580.555989
Lamont & Mt Pleasant NW,25th St & Pennsylvania Ave NW,557,21,31107,38.9319,-77.0388,4,15,112,31237,38.903827,-77.053485,8,7,3373.98749
Lamont & Mt Pleasant NW,US Dept of State / Virginia Ave & 21st St NW,548,21,31107,38.9319,-77.0388,4,15,74,31220,38.894919,-77.046587,0,15,4171.594892
Lamont & Mt Pleasant NW,22nd & I St NW / Foggy Bottom,535,21,31107,38.9319,-77.0388,4,15,200,31257,38.90088,-77.048911,14,0,3562.449959
Lamont & Mt Pleasant NW,14th & Belmont St NW,527,21,31107,38.9319,-77.0388,4,15,272,31119,38.921074,-77.031887,1,13,1345.654321
Lamont & Mt Pleasant NW,18th St & Pennsylvania Ave NW,522,21,31107,38.9319,-77.0388,4,15,141,31242,38.89968,-77.041539,15,12,3594.551229
Lamont & Mt Pleasant NW,C & O Canal & Wisconsin Ave NW,519,21,31107,38.9319,-77.0388,4,15,87,31225,38.90375,-77.06269,8,15,3755.147976
Lamont & Mt Pleasant NW,USDA / 12th & Independence Ave SW,514,21,31107,38.9319,-77.0388,4,15,71,31217,38.887237,-77.028226,15,22,5055.527952
Park Rd & Holmead Pl NW,Georgia & New Hampshire Ave NW,9977,33,31602,38.9308,-77.0315,8,10,28,31400,38.936043,-77.024649,3,12,832.218567
Park Rd & Holmead Pl NW,Lamont & Mt Pleasant NW,9047,33,31602,38.9308,-77.0315,8,10,21,31107,38.9319,-77.0388,4,15,643.8968593
Park Rd & Holmead Pl NW,14th St & Spring Rd NW,7387,33,31602,38.9308,-77.0315,8,10,29,31401,38.9375,-77.0328,1,10,754.2877988
Park Rd & Holmead Pl NW,Adams Mill & Columbia Rd NW,6020,33,31602,38.9308,-77.0315,8,10,18,31104,38.922925,-77.042581,1,14,1299.760603
Park Rd & Holmead Pl NW,Massachusetts Ave & Dupont Circle NW,5612,33,31602,38.9308,-77.0315,8,10,51,31200,38.9101,-77.0444,8,34,2560.881158
