StartDate,Ridership
2012/11/25,2424
2012/11/26,5087
2012/11/27,3959
2012/11/28,5260
2012/11/29,5323
2012/11/30,5668
2012/12/1,5191
2012/12/2,4649
2012/12/3,6234
2012/12/4,6606
2012/12/5,5729
2012/12/6,5375
2012/12/7,5008
2012/12/8,5582
2012/12/9,3228
2012/12/10,5170
2012/12/11,5501
2012/12/12,5319
2012/12/13,5532
2012/12/14,5611
2012/12/15,5047
2012/12/16,3786
2012/12/17,4585
2012/12/18,5557
2012/12/19,5267
2012/12/20,4128
2012/12/21,3623
2012/12/22,1749
2012/12/23,1787
2012/12/24,920
2012/12/25,1013
2012/12/26,441
2012/12/27,2114
2012/12/28,3095
2012/12/29,1341
2012/12/30,1796
2012/12/31,2729
2013/1/1,1985
2013/1/2,3703
2013/1/3,3873
2013/1/4,4118
2013/1/5,3562
2013/1/6,3790
2013/1/7,4774
2013/1/8,5311
2013/1/9,5147
2013/1/10,5415
2013/1/11,4150
2013/1/12,5628
2013/1/13,4145
2013/1/14,5059
2013/1/15,2923
2013/1/16,3511
2013/1/17,4817
2013/1/18,4512
2013/1/19,4974
2013/1/20,5768
2013/1/21,4574
2013/1/22,2951
2013/1/23,3220
2013/1/24,2448
2013/1/25,2375
2013/1/26,2765
2013/1/27,3032
2013/1/28,2733
2013/1/29,5834
2013/1/30,4687
2013/1/31,4358
2013/2/1,3201
2013/2/2,2473
2013/2/3,2586
2013/2/4,3946
2013/2/5,4613
2013/2/6,4915
2013/2/7,4488
2013/2/8,3390
2013/2/9,3466
2013/2/10,3613
2013/2/11,4268
2013/2/12,5680
2013/2/13,3556
2013/2/14,5170
2013/2/15,5358
2013/2/16,3239
2013/2/17,2508
2013/2/18,3361
2013/2/19,3960
2013/2/20,4383
2013/2/21,4147
2013/2/22,3562
2013/2/23,2575
2013/2/24,4378
2013/2/25,5002
2013/2/26,2784
2013/2/27,5440
2013/2/28,5128
2013/3/1,4941
2013/3/2,3741
2013/3/3,3095
2013/3/4,4454
2013/3/5,5217
2013/3/6,1136
2013/3/7,5043
2013/3/8,4870
2013/3/9,6835
2013/3/10,6829
2013/3/11,6087
2013/3/12,4289
2013/3/13,5742
2013/3/14,4881
2013/3/15,6384
2013/3/16,6247
2013/3/17,3984
2013/3/18,2768
2013/3/19,6001
2013/3/20,5887
2013/3/21,4541
2013/3/22,5452
2013/3/23,6542
2013/3/24,3888
2013/3/25,1933
2013/3/26,5627
2013/3/27,5856
2013/3/28,5640
2013/3/29,7443
2013/3/30,9664
2013/3/31,3821
2013/4/1,6420
2013/4/2,5946
2013/4/3,6287
2013/4/4,5872
2013/4/5,7679
2013/4/6,9346
2013/4/7,9830
2013/4/8,8550
2013/4/9,9838
2013/4/10,9639
2013/4/11,9166
2013/4/12,6064
2013/4/13,11369
2013/4/14,9695
2013/4/15,6979
2013/4/16,8315
2013/4/17,8563
2013/4/18,7761
2013/4/19,6178
2013/4/20,8882
2013/4/21,7401
2013/4/22,6794
2013/4/23,7509
2013/4/24,8552
2013/4/25,8332
2013/4/26,9074
2013/4/27,10904
2013/4/28,7921
2013/4/29,4333
2013/4/30,5405
2013/5/1,8691
2013/5/2,8592
2013/5/3,8741
2013/5/4,9586
2013/5/5,8080
2013/5/6,6565
2013/5/7,4462
2013/5/8,6669
2013/5/9,7870
2013/5/10,8957
2013/5/11,6531
2013/5/12,8103
2013/5/13,7441
2013/5/14,8122
2013/5/15,8826
2013/5/16,8971
2013/5/17,10155
2013/5/18,6405
2013/5/19,6734
2013/5/20,8454
2013/5/21,9103
2013/5/22,8987
2013/5/23,8136
2013/5/24,6698
2013/5/25,8039
2013/5/26,9960
2013/5/27,9067
2013/5/28,7605
2013/5/29,9357
2013/5/30,8825
2013/5/31,9190
2013/6/1,9568
2013/6/2,7746
2013/6/3,7475
2013/6/4,10032
2013/6/5,10075
2013/6/6,6925
2013/6/7,2509
2013/6/8,9863
2013/6/9,9341
2013/6/10,4429
2013/6/11,9271
2013/6/12,9269
2013/6/13,7340
2013/6/14,9900
2013/6/15,10546
2013/6/16,8816
2013/6/17,8703
2013/6/18,7208
2013/6/19,10136
2013/6/20,10267
2013/6/21,10422
2013/6/22,10913
2013/6/23,7276
2013/6/24,8134
2013/6/25,9276
2013/6/26,8611
2013/6/27,8889
2013/6/28,6377
2013/6/29,10620
2013/6/30,7181
2013/7/1,7944
2013/7/2,7953
2013/7/3,7818
2013/7/4,10832
2013/7/5,10652
2013/7/6,8981
2013/7/7,6949
2013/7/8,8172
2013/7/9,8848
2013/7/10,8209
2013/7/11,8942
2013/7/12,5792
2013/7/13,9372
2013/7/14,8497
2013/7/15,8108
2013/7/16,8515
2013/7/17,8720
2013/7/18,7902
2013/7/19,8087
2013/7/20,8706
2013/7/21,8538
2013/7/22,8796
2013/7/23,9335
2013/7/24,9856
2013/7/25,10228
2013/7/26,10370
2013/7/27,8474
2013/7/28,8242
2013/7/29,9328
2013/7/30,9980
2013/7/31,8773
2013/8/1,7844
2013/8/2,9940
2013/8/3,8532
2013/8/4,10511
2013/8/5,10162
2013/8/6,8469
2013/8/7,9827
2013/8/8,8972
2013/8/9,9545
2013/8/10,10162
2013/8/11,9596
2013/8/12,9613
2013/8/13,8395
2013/8/14,10497
2013/8/15,10800
2013/8/16,10889
2013/8/17,11168
2013/8/18,5835
2013/8/19,9066
2013/8/20,9692
2013/8/21,9241
2013/8/22,9650
2013/8/23,7699
2013/8/24,10990
2013/8/25,9584
2013/8/26,9385
2013/8/27,9622
2013/8/28,7735
2013/8/29,9435
2013/8/30,9748
2013/8/31,9479
2013/9/1,9300
2013/9/2,8122
2013/9/3,8944
2013/9/4,9826
2013/9/5,10007
2013/9/6,10258
2013/9/7,10236
2013/9/8,9516
2013/9/9,9141
2013/9/10,9570
2013/9/11,9267
2013/9/12,7079
2013/9/13,10056
2013/9/14,11269
2013/9/15,9855
2013/9/16,8359
2013/9/17,9968
2013/9/18,10059
2013/9/19,10461
2013/9/20,10676
2013/9/21,6919
2013/9/22,9442
2013/9/23,9067
2013/9/24,9606
2013/9/25,9615
2013/9/26,9893
2013/9/27,9989
2013/9/28,10190
2013/9/29,9365
2013/9/30,9132
2013/10/1,10358
2013/10/2,10385
2013/10/3,10157
2013/10/4,10263
2013/10/5,10586
2013/10/6,9776
2013/10/7,5880
2013/10/8,9944
2013/10/9,6438
2013/10/10,2532
2013/10/11,1800
2013/10/12,5261
2013/10/13,6027
2013/10/14,8940
2013/10/15,9381
