id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,4,9
41,19th & E Street NW,31206,38.8952,-77.0436,3,8
402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,8,15
332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,4,10
74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,0,15
248,8th & D St NW,31270,38.894851,-77.02324,11,4
101,13th & D St NE,31622,38.894832,-76.987633,5,26
89,D St & Maryland Ave NE,31612,38.894758,-76.997114,5,16
206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,1,14
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,3,16
171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,7,12
104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,8,17
373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,7,12
70,Benning Branch Library,31705,38.894,-76.947974,9,2
393,18th & C St NW,31284,38.893511,-77.041544,8,11
129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,5,10
172,N Veitch & Key Blvd,31028,38.893241,-77.086045,6,4
76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,12,19
133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,0,14
443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,1,22
109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,24,11
251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,13,12
131,N Rhodes & 16th St N,31018,38.892164,-77.079375,3,8
444,61st St & Banks Pl NE,31714,38.891805,-76.913563,1,17
130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,6,9
344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,9,12
409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,4,15
174,15th & N Scott St,31031,38.89054,-77.08095,1,10
408,4th St & Madison Dr NW,31288,38.890493,-77.017253,1,17
99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,1,23
138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,3,8
231,8th & East Capitol St NE,31629,38.889988,-76.995193,0,11
98,4th & East Capitol St NE,31618,38.889955,-77.000349,2,8
150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,9,9
329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,9,10
233,15th & East Capitol St NE,31630,38.889908,-76.983326,5,6
32,19th & East Capitol St SE,31601,38.8896,-76.9769,1,12
203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,4,7
134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,10,5
169,Smithsonian / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,8,14
168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,18,4
204,Lincoln Memorial,31258,38.888251,-77.049426,0,23
139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,2,13
410,17th St & Independence Ave SW,31290,38.888097,-77.038325,0,16
140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,6,11
247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,1,13
154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,3,12
253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,3,12
142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,23,13
71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,15,22
252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,19,11
68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,6,7
75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,15,0
160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,5,6
56,3rd & D St SE,31605,38.8851,-77.0023,5,6
202,Barton St & 10th St N,31050,38.884961,-77.08777,6,5
439,1st & D St SE,31643,38.884916,-77.005965,14,4
404,East Falls Church Metro/Sycamore St & 19th St N,31904,38.884859,-77.155988,13,4
384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,7,4
167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,2,13
182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,1,10
400,10th St & L'Enfant Plaza SW,31287,38.884377,-77.025791,6,14
