start_day,Category_ID,Ridership
2010/10/18,11,45
2010/10/18,12,59
2010/10/18,13,53
2010/10/18,14,45
2010/10/18,15,63
2010/10/18,16,74
2010/10/18,17,121
2010/10/18,18,120
2010/10/18,19,94
2010/10/18,20,54
2010/10/18,21,39
2010/10/18,22,43
2010/10/18,23,28
2010/10/19,0,6
2010/10/19,1,2
2010/10/19,2,6
2010/10/19,5,5
2010/10/19,6,24
2010/10/19,7,61
2010/10/19,8,135
2010/10/19,9,75
2010/10/19,10,28
2010/10/19,11,25
2010/10/19,12,52
2010/10/19,13,57
2010/10/19,14,43
2010/10/19,15,47
2010/10/19,16,53
2010/10/19,17,148
2010/10/19,18,154
2010/10/19,19,86
2010/10/19,20,62
2010/10/19,21,47
2010/10/19,22,27
2010/10/19,23,16
2010/10/20,0,6
2010/10/20,1,3
2010/10/20,2,2
2010/10/20,4,1
2010/10/20,5,3
2010/10/20,6,23
2010/10/20,7,68
2010/10/20,8,134
2010/10/20,9,91
2010/10/20,10,39
2010/10/20,11,46
2010/10/20,12,47
2010/10/20,13,42
2010/10/20,14,13
2010/10/20,15,40
2010/10/20,16,60
2010/10/20,17,132
2010/10/20,18,138
2010/10/20,19,94
2010/10/20,20,57
2010/10/20,21,41
2010/10/20,22,43
2010/10/20,23,33
2010/10/21,0,12
2010/10/21,1,6
2010/10/21,2,4
2010/10/21,3,2
2010/10/21,5,4
2010/10/21,6,23
2010/10/21,7,62
2010/10/21,8,136
2010/10/21,9,96
2010/10/21,10,50
2010/10/21,11,59
2010/10/21,12,62
2010/10/21,13,53
2010/10/21,14,50
2010/10/21,15,58
2010/10/21,16,61
2010/10/21,17,144
2010/10/21,18,139
2010/10/21,19,130
2010/10/21,20,67
2010/10/21,21,43
2010/10/21,22,50
2010/10/21,23,38
2010/10/22,0,15
2010/10/22,1,13
2010/10/22,2,3
2010/10/22,4,1
2010/10/22,5,6
2010/10/22,6,13
2010/10/22,7,55
2010/10/22,8,144
2010/10/22,9,107
2010/10/22,10,36
2010/10/22,11,53
2010/10/22,12,83
2010/10/22,13,70
2010/10/22,14,71
2010/10/22,15,71
2010/10/22,16,84
2010/10/22,17,164
2010/10/22,18,133
2010/10/22,19,77
2010/10/22,20,53
2010/10/22,21,60
2010/10/22,22,50
2010/10/22,23,31
2010/10/23,0,21
2010/10/23,1,19
2010/10/23,2,26
2010/10/23,3,6
2010/10/23,4,5
2010/10/23,5,2
2010/10/23,6,8
2010/10/23,7,13
2010/10/23,8,29
2010/10/23,9,53
2010/10/23,10,70
2010/10/23,11,121
2010/10/23,12,136
2010/10/23,13,144
2010/10/23,14,191
2010/10/23,15,183
2010/10/23,16,184
2010/10/23,17,155
2010/10/23,18,114
2010/10/23,19,68
2010/10/23,20,45
2010/10/23,21,56
2010/10/23,22,40
2010/10/23,23,37
2010/10/24,0,47
2010/10/24,1,25
2010/10/24,2,24
2010/10/24,3,8
2010/10/24,4,1
2010/10/24,5,1
2010/10/24,6,3
2010/10/24,7,4
2010/10/24,8,29
2010/10/24,9,62
2010/10/24,10,87
2010/10/24,11,117
2010/10/24,12,130
2010/10/24,13,158
2010/10/24,14,165
2010/10/24,15,167
2010/10/24,16,127
2010/10/24,17,134
2010/10/24,18,89
2010/10/24,19,59
2010/10/24,20,49
2010/10/24,21,48
2010/10/24,22,23
2010/10/24,23,18
2010/10/25,0,11
2010/10/25,1,2
2010/10/25,2,5
2010/10/25,3,2
2010/10/25,5,4
2010/10/25,6,25
2010/10/25,7,54
2010/10/25,8,160
2010/10/25,9,89
2010/10/25,10,49
2010/10/25,11,48
2010/10/25,12,70
