StartDate,Ridership,DayType
03-01-13,3873,No
04-01-13,4118,No
05-01-13,3562,No
06-01-13,3790,No
07-01-13,4774,No
08-01-13,5311,No
09-01-13,5147,No
10-01-13,5415,No
11-01-13,4150,No
12-01-13,5628,No
13-01-13,4145,No
14-01-13,5059,No
15-01-13,2923,No
16-01-13,3511,No
17-01-13,4817,No
18-01-13,4512,No
19-01-13,4974,No
20-01-13,5768,No
21-01-13,4574,Yes
22-01-13,2951,No
23-01-13,3220,No
24-01-13,2448,No
25-01-13,2375,No
26-01-13,2765,No
27-01-13,3032,No
28-01-13,2733,No
29-01-13,5834,No
30-01-13,4687,No
31-01-13,4358,No
01-02-13,3201,No
02-02-13,2473,No
03-02-13,2586,No
04-02-13,3946,No
05-02-13,4613,No
06-02-13,4915,No
07-02-13,4488,No
08-02-13,3390,No
09-02-13,3466,No
10-02-13,3613,No
11-02-13,4268,No
12-02-13,5680,No
13-02-13,3556,No
14-02-13,5170,No
15-02-13,5358,No
16-02-13,3239,No
17-02-13,2508,No
18-02-13,3361,Yes
19-02-13,3960,No
20-02-13,4383,No
21-02-13,4147,No
22-02-13,3562,No
23-02-13,2575,No
24-02-13,4378,No
25-02-13,5002,No
26-02-13,2784,No
27-02-13,5440,No
28-02-13,5128,No
01-03-13,4941,No
02-03-13,3741,No
03-03-13,3095,No
04-03-13,4454,No
05-03-13,5217,No
06-03-13,1136,No
07-03-13,5043,No
08-03-13,4870,No
09-03-13,6835,No
10-03-13,6829,No
11-03-13,6087,No
12-03-13,4289,No
13-03-13,5742,No
14-03-13,4881,No
15-03-13,6384,No
16-03-13,6247,No
17-03-13,3984,No
18-03-13,2768,No
19-03-13,6001,No
20-03-13,5887,No
21-03-13,4541,No
22-03-13,5452,No
23-03-13,6542,No
24-03-13,3888,No
25-03-13,1933,No
26-03-13,5627,No
27-03-13,5856,No
28-03-13,5640,No
29-03-13,7443,No
30-03-13,9664,No
31-03-13,3821,No
01-04-13,6420,No
02-04-13,5946,No
03-04-13,6287,No
04-04-13,5872,No
05-04-13,7679,No
06-04-13,9346,No
07-04-13,9830,No
08-04-13,8550,No
09-04-13,9838,No
10-04-13,9639,No
11-04-13,9166,No
12-04-13,6064,No
13-04-13,11369,Yes
14-04-13,9695,No
15-04-13,6979,No
16-04-13,8315,No
17-04-13,8563,No
18-04-13,7761,No
19-04-13,6178,No
20-04-13,8882,No
21-04-13,7401,No
22-04-13,6794,No
23-04-13,7509,No
24-04-13,8552,No
25-04-13,8332,No
26-04-13,9074,No
27-04-13,10904,No
28-04-13,7921,No
29-04-13,4333,No
30-04-13,5405,No
01-05-13,8691,No
02-05-13,8592,No
03-05-13,8741,No
04-05-13,9586,No
05-05-13,8080,No
06-05-13,6565,No
07-05-13,4462,No
08-05-13,6669,No
09-05-13,7870,No
10-05-13,8957,No
11-05-13,6531,No
12-05-13,8103,No
13-05-13,7441,No
14-05-13,8122,No
15-05-13,8826,No
16-05-13,8971,No
17-05-13,10155,No
18-05-13,6405,No
19-05-13,6734,No
20-05-13,8454,No
21-05-13,9103,No
22-05-13,8987,No
23-05-13,8136,No
24-05-13,6698,No
25-05-13,8039,No
26-05-13,9960,No
27-05-13,9067,Yes
28-05-13,7605,No
29-05-13,9357,No
30-05-13,8825,No
31-05-13,9190,No
01-06-13,9568,No
02-06-13,7746,No
03-06-13,7475,No
04-06-13,10032,No
05-06-13,10075,No
06-06-13,6925,No
07-06-13,2509,No
08-06-13,9863,No
09-06-13,9341,No
10-06-13,4429,No
11-06-13,9271,No
12-06-13,9269,No
13-06-13,7340,No
14-06-13,9900,No
15-06-13,10546,No
16-06-13,8816,No
17-06-13,8703,No
18-06-13,7208,No
19-06-13,10136,No
20-06-13,10267,No
21-06-13,10422,No
22-06-13,10913,No
23-06-13,7276,No
24-06-13,8134,No
25-06-13,9276,No
26-06-13,8611,No
27-06-13,8889,No
28-06-13,6377,No
29-06-13,10620,No
30-06-13,7181,No
01-07-13,7944,No
02-07-13,7953,No
03-07-13,7818,No
04-07-13,10832,Yes
05-07-13,10652,No
06-07-13,8981,No
07-07-13,6949,No
08-07-13,8172,No
09-07-13,8848,No
10-07-13,8209,No
11-07-13,8942,No
12-07-13,5792,No
13-07-13,9372,No
14-07-13,8497,No
15-07-13,8108,No
16-07-13,8515,No
17-07-13,8720,No
18-07-13,7902,No
19-07-13,8087,No
20-07-13,8706,No
21-07-13,8538,No
22-07-13,8796,No
23-07-13,9335,No
24-07-13,9856,No
25-07-13,10228,No
26-07-13,10370,No
27-07-13,8474,No
28-07-13,8242,No
29-07-13,9328,No
30-07-13,9980,No
31-07-13,8773,No
01-08-13,7844,No
02-08-13,9940,No
03-08-13,8532,No
04-08-13,10511,No
05-08-13,10162,No
06-08-13,8469,No
07-08-13,9827,No
08-08-13,8972,No
09-08-13,9545,No
10-08-13,10162,No
11-08-13,9596,No
12-08-13,9613,No
13-08-13,8395,No
14-08-13,10497,No
15-08-13,10800,No
16-08-13,10889,No
17-08-13,11168,No
18-08-13,5835,No
19-08-13,9066,No
20-08-13,9692,No
21-08-13,9241,No
22-08-13,9650,No
23-08-13,7699,No
24-08-13,10990,No
25-08-13,9584,No
26-08-13,9385,No
27-08-13,9622,No
28-08-13,7735,No
29-08-13,9435,No
30-08-13,9748,No
31-08-13,9479,No
01-09-13,9300,No
02-09-13,8122,Yes
03-09-13,8944,No
04-09-13,9826,No
05-09-13,10007,No
06-09-13,10258,No
07-09-13,10236,No
08-09-13,9516,No
09-09-13,9141,No
10-09-13,9570,No
11-09-13,9267,No
12-09-13,7079,No
